source_id,section,locator_kind,locator,disposition,contract_ids,notes
S01,General Notes,pdf_page,2;3;4,context,,All ages excluding neonates; critical care primary. Some infant terms imperfect. Voltage is peak-to-trough in standard 10–20 longitudinal bipolar; symmetry prefers referential. Consistent means >80%.
S01,"A.1–A.3 Symmetry, frequency, PDR",pdf_page,4,mapped,BG-SYMMETRY;BG-PREDOMINANT-FREQUENCY;BG-PDR,Complete.
S01,A.4 Continuity,pdf_page,5;6;7,mapped,BG-CONTINUITY;BG-BURST-MODIFIERS,"Categories, denominator, burst qualification and modifiers mapped."
S01,"A.5–A.7 Reactivity, states, CAPE",pdf_page,6;7;8,mapped,BG-REACTIVITY;BG-STATE-CHANGES;BG-CAPE,Complete; referenced RPP/BIRD/seizure definitions excluded.
S01,"A.8–A.10 Voltage, AP gradient, breach",pdf_page,7;8,mapped,BG-VOLTAGE;BG-AP-GRADIENT;BG-BREACH,Complete.
S01,B. Sporadic Epileptiform Discharges,pdf_page,8,mapped,SED-MORPHOLOGY;SED-PREVALENCE,Morphology and prevalence mapped.
S01,C introductory text,pdf_page,9,mapped,RPP-VALIDITY,Two-main-term construction.
S01,C1 Main Term 1,pdf_page,9;10;11,mapped,RPP-LOCATION,All G/L/BI/UI/Mf terms and localizing qualifiers.
S01,C2 Main Term 2,pdf_page,12;13,mapped,RPP-TYPE;RPP-VALIDITY,"PD, RDA, SW and six-cycle validity."
S01,C3a-c,pdf_page,13;14,mapped,RPP-TIME-RATE,"Prevalence, duration, frequency."
S01,C3d-f,pdf_page,13;14,mapped,RPP-WAVEFORM-MODIFIERS,"Phases, sharpness, voltage."
S01,C3g-h,pdf_page,14;15;16;17,mapped,RPP-STIMULUS-EVOLUTION;RPP-VALIDITY,"Stimulus response, evolution, fluctuation, static; seizure/BIRD boundary retained only as exclusion. Figures 24-29 on pages 15-16 reinforce evolution/fluctuation predicates."
S01,C3i,pdf_page,17;18;19;20;21;22,mapped,RPP-PLUS,Plus subtypes and EDB.
S01,C4,pdf_page,22,mapped,RPP-MINOR,All listed minor modifiers.
S01,D.1,pdf_page,22;23,mapped,SZ-ESZ,Definition extraction; human review pending.
S01,D.2,pdf_page,23;24,mapped,SZ-ESE,Definition extraction; human review pending.
S01,D.3,pdf_page,24,mapped,SZ-ECSZ,Definition extraction; human review pending.
S01,D.4,pdf_page,24,mapped,SZ-ECSE,Definition extraction; human review pending.
S01,D.4b,pdf_page,24,mapped,SZ-POSSIBLE-ECSE,Definition extraction; human review pending.
S01,D notes: motor manifestations,pdf_page,24,mapped,SZ-NONCONVULSIVE,Definition extraction; human review pending.
S01,D/F notes: SI prefix,pdf_page,24;26,mapped,SZ-SI,Definition extraction; human review pending.
S01,E,pdf_page,24;25,mapped,SZ-BIRDS,Definition extraction; human review pending.
