source,patient_group,partition,status
chb,chb01_21,development,proposal_not_final_test_lock
chb,chb02,development,proposal_not_final_test_lock
chb,chb03,development,proposal_not_final_test_lock
chb,chb05,reserve_metadata_only,proposal_not_final_test_lock
cork,ID01,development,proposal_not_final_test_lock
cork,ID02,development,proposal_not_final_test_lock
cork,ID03,development,proposal_not_final_test_lock
cork,ID04,development,proposal_not_final_test_lock
cork,ID05,development,proposal_not_final_test_lock
cork,ID06,development,proposal_not_final_test_lock
cork,ID09,reserve_metadata_only,proposal_not_final_test_lock
helsinki,1,development,proposal_not_final_test_lock
helsinki,4,development,proposal_not_final_test_lock
helsinki,5,development,proposal_not_final_test_lock
helsinki,6,reserve_metadata_only,proposal_not_final_test_lock
icare,0284,development,proposal_not_final_test_lock
icare,0286,development,proposal_not_final_test_lock
icare,0296,development,proposal_not_final_test_lock
icare,0299,reserve_metadata_only,proposal_not_final_test_lock
siena,PN00,development,proposal_not_final_test_lock
siena,PN01,development,proposal_not_final_test_lock
siena,PN03,development,proposal_not_final_test_lock
siena,PN05,reserve_metadata_only,proposal_not_final_test_lock
