family,contract_id,probes,requested,normalized,measured,verdict,evidence,note
GATE,GATE-CHUNK-INVARIANCE,P04a,iter_blocks == segment,"300-s horizon, 21 electrodes",max |diff| 0.00e+00 uV; half-split 0.00e+00 uV,pass,technical_gate,
GATE,GATE-MONTAGE-ALGEBRA,P04a,bipolar = a-b; average = a-mean(scalp),18 LB pairs + 19 average rows,bipolar 0.0e+00 uV; average 0.0e+00 uV,pass,technical_gate,
GATE,GATE-DETERMINISM,P04a,same spec -> identical samples; seed+1 -> different,,rebuild identical=True; seed+1 max diff 245.1 uV,pass,technical_gate,
GATE,GATE-EDF-ROUNDTRIP,P04a,independent reader recovers voltages within half a quantum,"phys range +-3300.0 uV, quantum 0.1007 uV",max err 0.0504 uV; labels match True; dims ['uV']; 300 records x 1.0 s = 300.0 s (expected 300.0); clipped 0; padded 0,pass,technical_gate,
GATE,GATE-AMPLITUDE-CALIBRATION,P01a,amplitude_uv 45.0 (documented as display-montage p2p),NEO8; type continuous,"median 1-s p2p 36.0 uV (0.5-30 Hz), 47.2 uV raw; ratio 0.80",pass,probe calibration,"median 1-s p2p on the display montage vs the requested amplitude_uv; 0.7-1.3 is a P4 operational tolerance, not a source threshold"
GATE,GATE-AMPLITUDE-CALIBRATION,P01b,amplitude_uv 25.0 (documented as display-montage p2p),NEO8; type continuous,"median 1-s p2p 22.2 uV (0.5-30 Hz), 29.1 uV raw; ratio 0.89",pass,probe calibration,"median 1-s p2p on the display montage vs the requested amplitude_uv; 0.7-1.3 is a P4 operational tolerance, not a source threshold"
GATE,GATE-AMPLITUDE-CALIBRATION,P02a,amplitude_uv 40.0 (documented as display-montage p2p),NEO8; type discontinuous,"median 1-s p2p 32.9 uV (0.5-30 Hz), 40.5 uV raw; ratio 0.82",pass,probe calibration,"median 1-s p2p on the display montage vs the requested amplitude_uv; 0.7-1.3 is a P4 operational tolerance, not a source threshold"
GATE,GATE-AMPLITUDE-CALIBRATION,P04a,amplitude_uv 50 (documented as display-montage p2p),LB18; type continuous,"median 1-s p2p 43.5 uV (0.5-30 Hz), 56.1 uV raw; ratio 0.87",pass,probe calibration,"median 1-s p2p on the display montage vs the requested amplitude_uv; 0.7-1.3 is a P4 operational tolerance, not a source threshold"
GATE,GATE-AMPLITUDE-CALIBRATION,P06a,amplitude_uv 15 (documented as display-montage p2p),LB18; type low_voltage,"median 1-s p2p 12.3 uV (0.5-30 Hz), 13.6 uV raw; ratio 0.82",pass,probe calibration,"median 1-s p2p on the display montage vs the requested amplitude_uv; 0.7-1.3 is a P4 operational tolerance, not a source threshold; spec.py's background engine multiplies amplitude_uv by amp_scale 0.28 for type low_voltage, so the requested number is not the delivered voltage"
GATE,GATE-EVENT-AMPLITUDE-CALIBRATION,P03a,evolution.amplitude_end_uv 120,seizure on C3-P3,last-third median 1-s p2p 85 uV; ratio 0.71,pass,probes,the ictal amplitude parameter is not documented as a display-montage p2p; the ratio is reported so P5 can decide the intended meaning
