candidate_id,family,role,describe,spec_hash,page,reviewer,decision,acns_labels,concerns,comments,date
B1-01,AT-P01,canonical,"term 40 w, day 3, state cycle: quiet sleep = trace alternant (bursts every 4-5 s, interburst < 50 uV, max IBI ~3.7 s)",sha256:4a10a184c4c3e6bb0aebd6069b4cb3a4e1463da49f714b911fb63df6f3afc07c,p7\batch1\review\B1-01.png,,pending,,,,
B1-02,AT-P01,variation,"same record in active sleep: continuous mixed-frequency, term transient sharp waves (~7.6/h, temporal > rolandic)",sha256:4a10a184c4c3e6bb0aebd6069b4cb3a4e1463da49f714b911fb63df6f3afc07c,p7\batch1\review\B1-02.png,,pending,,,,
B1-03,AT-P01,variation,"same record at a state transition (indeterminate sleep): mild discontinuity, intermediate interburst voltage",sha256:4a10a184c4c3e6bb0aebd6069b4cb3a4e1463da49f714b911fb63df6f3afc07c,p7\batch1\review\B1-03.png,,pending,,,,
B1-04,AT-P01,boundary,"term, 3 hours of life: more discontinuity (max IBI ~5.75 s, lower interburst), a fifth of bursts brushed, 12/h encoches, 37/h transient sharps, indeterminate sleep dominant",sha256:2806e0b94ef71f269452d1d382d4c0e0bd8e254b958905c45a3f4ec19f15dd32,p7\batch1\review\B1-04.png,,pending,,,,
B1-05,AT-P01,boundary,"term, 3 hours of life, indeterminate sleep (63 % of the record at this age): the normal 'immature-looking' first-day tracing",sha256:2806e0b94ef71f269452d1d382d4c0e0bd8e254b958905c45a3f4ec19f15dd32,p7\batch1\review\B1-05.png,,pending,,,,
B1-06,AT-P01,contrast,"dysmature: stated PMA 40 w with the patterns of 34 w (brushes 2.2/min, longer interburst, no encoches yet), quiet sleep",sha256:eb313f1aaa718e6b70c69c481a5c1c2b8c39a1135f7a8ffff55dc9318535dbcd,p7\batch1\review\B1-06.png,,pending,,,,
B1-07,AT-P01,contrast,"excess temporal sharp transients (30/h, > 10/h is abnormal at day 3) on an otherwise normal term active-sleep record",sha256:0d0adbad7c0eb548cbfd903d8f907acffc62e7b97761a807590416b3d5bc0f41,p7\batch1\review\B1-07.png,,pending,,,,
B1-08,AT-P01,contrast,"encephalopathic term: no sleep-wake cycling, continuous slow 22 uV, unreactive, no transients or encoches (contrast to B1-01/02)",sha256:16d90369496a08e71e334b92c4ba42774b4470fbe9837dca4ce9a12d2e5c3e07,p7\batch1\review\B1-08.png,,pending,,,,
B1-09,AT-P01,variation,"post-term 43 w, quiet sleep: trace alternant giving way to continuous slow-wave sleep, encoches fading (0.3/min)",sha256:30c3a5e858c984cc3745e56a205dd3405ff810ab30e879bdb0d409c712c2998a,p7\batch1\review\B1-09.png,,pending,,,,
B1-10,AT-P02,variation,"37 w, quiet sleep with the state cycle on a discontinuous (PMA-table) background: longer interburst than term, brushes 0.9/min",sha256:ddcc449e4a1dca534dff994a5b3fdf101ca5d38e3c9b35a764a8183a791c55ea,p7\batch1\review\B1-10.png,,pending,,,,
